,Model,AUROC,AUPRC,F1-Score,Accuracy
0,Small CNN,0.9107979708503953,0.920312724378404,0.792034632034632,0.816741943359375
1,ResNet (Frozen),0.8443397763097623,0.8389191617685554,0.7642524090767796,0.7685546875
2,ResNet (Partial),0.8923691594082446,0.8935960267886495,0.7540618585394705,0.784271240234375
